pair_id,customer_tweet_id,agent_tweet_id,customer_text,agent_text,is_initial_query,created_at_cust,created_at_agent
tw_698_696,698,696,@AppleSupport  https://t.co/NV0yucs0lB,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,False,Tue Oct 31 22:17:40 +0000 2017,Tue Oct 31 22:27:49 +0000 2017
tw_697_699,697,699,@AppleSupport The newest update. I️ made sure to download it yesterday.,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT,False,Tue Oct 31 22:31:23 +0000 2017,Tue Oct 31 22:36:27 +0000 2017
tw_702_701,702,701,@AppleSupport Tried resetting my settings .. restarting my phone .. all that,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT,False,Tue Oct 31 22:11:31 +0000 2017,Tue Oct 31 22:26:49 +0000 2017
tw_704_703,704,703,@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,@115855 Any steps tried since it started last night?,False,Tue Oct 31 21:59:17 +0000 2017,Tue Oct 31 22:09:52 +0000 2017
tw_707_705,707,705,@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?,False,Tue Oct 31 21:48:51 +0000 2017,Tue Oct 31 21:57:00 +0000 2017
tw_709_708,709,708,@AppleSupport I️ need answers because it’s annoying 🙃,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,False,Tue Oct 31 21:34:45 +0000 2017,Tue Oct 31 21:43:15 +0000 2017
tw_714_712,714,712,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",True,Tue Oct 31 22:19:32 +0000 2017,Tue Oct 31 22:26:29 +0000 2017
tw_717_716,717,716,@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT,False,Tue Oct 31 22:13:08 +0000 2017,Tue Oct 31 22:24:54 +0000 2017
tw_719_718,719,718,Tf is wrong with my keyboard @115858,"@115857 Fill us in on what is happening, then we can help out from there.",True,Tue Oct 31 22:01:50 +0000 2017,Tue Oct 31 22:05:00 +0000 2017
tw_721_720,721,720,@AppleSupport are the call centres closed for the night?,@115859 We've received your DM and will continue there.,False,Tue Oct 31 22:18:14 +0000 2017,Tue Oct 31 22:24:27 +0000 2017
tw_723_722,723,722,@115858 @AppleSupport hello are all the lines closed for tonight #help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,True,Tue Oct 31 22:11:16 +0000 2017,Tue Oct 31 22:17:30 +0000 2017
tw_725_724,725,724,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",False,Tue Oct 31 22:16:35 +0000 2017,Tue Oct 31 22:22:31 +0000 2017
tw_730_729,730,729,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7","@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",True,Tue Oct 31 20:46:35 +0000 2017,Tue Oct 31 20:55:34 +0000 2017
tw_733_732,733,732,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.,True,Tue Oct 31 22:16:40 +0000 2017,Tue Oct 31 22:22:31 +0000 2017
tw_736_734,736,734,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",True,Tue Oct 31 22:17:57 +0000 2017,Tue Oct 31 22:22:00 +0000 2017
tw_735_737,735,737,@AppleSupport I have the iPhone 6s Plus and just did the most recent update.,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT",False,Tue Oct 31 22:23:35 +0000 2017,Tue Oct 31 22:33:34 +0000 2017
tw_740_738,740,738,@AppleSupport iPhone 7 Plus 😊,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,False,Tue Oct 31 22:14:45 +0000 2017,Tue Oct 31 22:21:30 +0000 2017
tw_739_741,739,741,@AppleSupport iOS 11.0.3,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.",False,Tue Oct 31 22:35:32 +0000 2017,Tue Oct 31 22:46:26 +0000 2017
tw_742_743,742,743,@AppleSupport Okey. Thank you! 🤗,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",False,Tue Oct 31 22:59:53 +0000 2017,Tue Oct 31 23:12:00 +0000 2017
